latitude,longitude,brightness,acq_date,confidence,frp
-35.927,148.002,320.7,2020-01-04,0,42.9
-35.931,147.982,323.1,2020-01-04,0,47.9
-35.915,147.998,321.5,2020-01-04,0,43.6
-35.92,147.978,353,2020-01-04,98,168.8
-35.908,147.974,354.2,2020-01-04,98,175.1
-35.856,147.523,314.4,2020-01-04,31,22.9
-35.852,147.482,313.7,2020-01-04,19,23.3
-35.851,147.516,323.1,2020-01-04,30,36.3
-35.845,147.52,335.9,2020-01-04,100,80.4
-35.848,147.501,330.4,2020-01-04,100,60.8
-37.163,149.624,332.4,2020-01-04,0,101.3
-36.262,148.066,320.1,2020-01-04,63,39.3
-36.266,148.048,324.7,2020-01-04,86,49.2
-36.267,147.98,317.6,2020-01-04,28,31.8
-36.16,147.986,369.5,2020-01-04,100,281.5
-36.164,147.966,310,2020-01-04,34,19.5
-36.148,147.982,369.5,2020-01-04,100,284.6
-36.152,147.963,312.4,2020-01-04,37,25.8
-36.14,147.997,313.7,2020-01-04,16,31.5
-36.144,147.976,322.5,2020-01-04,83,52.2
-37.438,149.404,325.6,2020-01-04,33,64.4
-37.709,149.073,305.9,2020-01-04,30,18.2
-37.095,149.569,325.3,2020-01-04,92,81
-36.979,146.983,321.4,2020-01-04,37,33.4
-36.98,146.977,320,2020-01-04,0,28.9
-36.972,146.958,328.6,2020-01-04,87,42.3
-36.972,146.899,317.3,2020-01-04,33,22.4
-36.975,146.882,313.4,2020-01-04,35,19.9
-36.94,146.946,313.9,2020-01-04,18,18.9
-36.913,146.903,342.3,2020-01-04,100,82.3
-36.902,146.9,332.4,2020-01-04,99,54.9
-36.91,146.914,344.1,2020-01-04,100,92.8
-36.913,146.898,344.7,2020-01-04,100,92.9
-36.899,146.912,334.6,2020-01-04,100,65.3
-36.903,146.895,331,2020-01-04,97,54.7
-37.447,148.542,309.2,2020-01-04,38,24
-37.42,148.488,337.6,2020-01-04,87,91.9
-37.722,149.077,327.2,2020-01-04,81,65.8
-37.726,149.055,365.8,2020-01-04,100,273.9
-37.7,149.118,334.9,2020-01-04,97,93.7
-37.717,149.099,330.5,2020-01-04,90,77
-37.712,149.122,330.5,2020-01-04,76,78.5
-37.1,149.544,309.6,2020-01-04,47,39.7
-37.243,146.568,329.4,2020-01-04,87,47.2
-37.375,149.071,349,2020-01-04,100,163.7
-37.37,149.093,331.8,2020-01-04,100,82.4
-37.358,149.088,333.1,2020-01-04,89,83.5
-37.472,148.483,327.2,2020-01-04,100,62.1
-37.362,149.068,343.7,2020-01-04,100,130.5
-37.208,149.596,347.5,2020-01-04,91,177.2
-37.191,149.554,323.3,2020-01-04,27,60.8
-37.11,149.553,325.4,2020-01-04,38,72.3
-37.467,148.504,323.9,2020-01-04,49,48.9
-36.842,146.725,317.5,2020-01-04,73,17.5
-37.444,148.496,327.4,2020-01-04,46,56.4
-37.432,148.492,409.6,2020-01-04,100,775.9
